ncols         262 
nrows         133 
xllcorner     4472949 
yllcorner     5543742 
cellsize      5 
NODATA_value  -9999 
18	19	19	54	92	0	60	1	2	3	49	1554088	0	0	0	0	62	58	0	21	2	0	9	0	0	4654	3	2	1	0	5	1	0	38	33	32	23	15	5	6	4	10	3	14	1	42	43	37	20	18	17	16	391	5	4	3	2	240	28	14	18	39	17	17	19	15	15	38	14	14	14	14	15	1	26	0	16	9	31	3	1	0	31	40	0	15	15	31	50	18	13	13	13	13	21	12	12	15	24	54	11	77	10	15	9	9	17	8	8	31	7	7	54	6	0	68	5	5	5	8	4	4	4	67	4	4	4	4	4	15	3	3	3	3	19	2	2	2	7	1	1	1	1	1	4	2	3	3	0	17	3	3	3	6	2	2	2	3	4	3	4	1	0	10	2	2	2	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	1	0	1	4	1	4	2	2	2	1	2	5	0	0	1	1	1	4	2	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	1	1	1	2	1	2	2	2	3	5	3	0	0	8	4	4	4	4	4	4
18	18	53	26	64	59	0	1	2	25	18	55	1554029	1554027	0	0	1	23	8	2	0	1	4	3	0	4649	248	247	246	245	244	2	1	0	3	2	1	0	0	24	11	4	15	2	43	44	38	21	19	18	17	392	6	5	4	3	241	0	44	19	40	18	18	20	16	16	39	15	15	15	15	16	2	27	1	17	10	32	4	2	1	0	73	1	0	32	32	51	19	14	14	14	14	22	13	13	16	25	55	12	78	11	16	10	10	18	9	9	32	8	8	55	7	1	69	6	6	6	9	5	5	5	68	5	5	5	5	5	16	4	4	4	4	20	3	3	3	8	2	2	2	2	2	0	5	7	4	1	18	4	4	4	7	3	3	3	4	5	4	5	0	0	11	3	3	3	22	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	0	1	1	1	1	0	2	1	2	0	2	5	0	3	3	2	0	5	2	5	3	3	5	0	3	6	2	2	2	2	5	0	0	0	1	1	1	2	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	0	1	0	1	1	1	2	4	1	0	0	6	3	3	3	3	3	3
17	52	25	16	46	58	0	1	24	17	30	23	0	1554023	0	0	0	3	17	4	1	0	3	2	0	2	4394	9	8	7	6	243	242	241	54	53	52	51	49	23	22	16	0	47	45	39	22	20	19	18	393	7	6	5	4	242	1	0	65	41	19	19	21	17	17	40	16	16	16	16	17	3	0	28	2	18	11	33	8	2	0	1	76	1	0	33	33	52	20	30	15	15	23	14	14	17	26	56	13	79	12	17	11	11	19	10	10	33	9	9	56	8	0	72	7	7	7	10	6	6	6	69	6	6	6	6	6	17	5	5	5	5	21	4	4	4	9	3	0	3	6	3	0	1	6	13	2	19	5	5	5	8	4	4	4	5	6	5	6	1	1	12	4	4	4	23	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	0	1	2	2	2	2	1	3	2	3	1	3	6	1	4	4	3	1	6	3	6	4	4	6	1	4	7	3	3	6	6	1	1	1	2	2	2	3	1	1	1	1	1	4	0	0	0	0	0	6	5	4	3	2	1	0	0	0	0	0	1	2	0	0	1	3	2	2	2	2	2	2
51	24	15	32	12	57	0	23	16	29	22	22	66	0	1553954	0	0	1	2	13	3	0	2	1	1	0	4383	11	10	9	8	5	1	0	185	5	4	3	2	1	0	50	49	46	0	63	21	20	19	394	8	7	6	5	243	2	1	0	108	20	20	22	18	18	41	17	17	17	17	18	4	1	29	0	3	19	12	34	12	1	0	2	79	0	35	34	0	53	21	31	32	24	15	15	18	27	57	14	80	13	18	12	12	20	11	11	34	10	10	57	9	1	0	81	8	8	11	7	7	7	70	7	7	7	7	7	18	6	6	6	6	22	5	5	5	10	0	4	1	4	7	4	1	2	21	3	20	6	6	6	9	5	5	5	6	7	6	7	2	2	13	5	5	5	24	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	2	3	3	0	4	6	3	0	3	1	2	3	3	3	3	2	4	3	4	2	4	7	2	5	5	4	2	7	4	7	5	5	7	2	5	8	4	4	7	9	2	2	3	0	3	3	4	4	2	2	2	5	1	1	1	1	1	7	0	0	0	0	0	5	4	3	2	1	0	0	0	0	0	0	1	1	1	1	1	1	1
23	14	31	11	41	14	22	15	28	21	21	21	20	19	39	1553912	0	0	1	2	9	2	1	0	0	1	11	4355	3	2	1	7	2	1	0	178	176	55	54	53	52	0	114	113	64	22	0	21	415	9	8	7	6	244	3	5	2	0	130	21	23	19	19	42	18	18	18	0	18	19	5	2	30	1	24	0	13	48	0	2	1	3	80	1	36	35	1	54	22	32	33	41	16	19	28	58	15	81	14	19	13	13	21	12	12	35	11	11	58	10	2	1	0	91	9	12	8	8	8	71	8	8	8	8	8	19	7	7	7	7	23	6	6	6	0	11	1	5	2	5	8	5	2	3	49	22	0	14	7	10	6	6	6	7	8	7	8	3	3	14	6	6	6	25	4	4	4	4	5	4	4	4	4	4	4	4	4	4	0	4	4	3	4	4	1	5	7	4	1	4	2	3	4	4	4	4	3	5	9	0	0	8	8	3	6	6	5	3	8	5	8	6	6	8	3	6	9	5	5	8	13	0	3	4	1	4	4	5	5	3	6	6	2	2	2	2	2	8	1	1	1	1	1	6	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
13	30	10	40	13	21	14	27	20	20	20	19	18	18	18	49	1553860	0	0	1	4	3	1	0	0	1	8	4348	1	0	0	0	6	0	1	0	0	119	118	117	116	115	842	841	840	24	22	416	10	0	17	7	245	4	6	0	0	0	153	0	44	20	43	19	19	19	1	19	20	6	3	31	2	25	1	14	49	1	3	2	0	4	83	37	36	2	0	78	33	34	42	17	20	29	59	16	82	15	20	14	14	22	13	13	36	12	12	59	11	3	2	1	0	102	13	9	9	9	72	9	9	9	9	9	20	8	8	8	8	24	7	7	7	1	0	12	2	6	3	6	9	0	9	54	1	0	0	23	11	7	7	7	8	9	8	9	4	4	15	7	7	7	26	5	5	5	5	6	5	5	5	5	5	5	5	5	5	1	5	5	0	4	5	5	2	6	8	5	7	0	3	4	5	5	5	5	4	6	10	2	0	0	18	4	7	7	6	4	9	6	9	7	7	9	4	7	10	6	6	9	14	5	0	5	2	5	5	6	10	7	7	3	3	3	3	3	9	2	2	2	2	2	7	1	1	1	1	1	1	1	3	0	0	0	1	0	0	0	0	0	0	0
29	9	39	12	20	13	26	19	19	19	18	17	17	17	15	13	0	1553857	0	0	1	1	2	0	0	1	5	8	4338	4334	0	0	0	4	1	0	858	857	856	855	854	853	9	8	0	791	431	430	1	18	8	0	251	7	1	1	1	0	154	1	66	44	20	20	20	2	20	21	7	4	0	32	3	26	2	65	2	4	0	3	1	5	84	38	40	0	1	79	34	78	18	21	30	60	17	83	16	21	15	15	23	14	14	37	13	13	60	12	4	3	2	1	0	117	10	10	10	73	10	10	10	10	10	21	9	9	9	9	25	8	8	8	2	0	1	13	3	7	4	0	7	11	10	57	0	0	1	36	17	8	8	9	10	9	10	5	5	16	8	8	8	27	6	6	6	6	7	6	6	6	6	6	6	6	6	0	6	2	6	6	1	5	6	6	3	7	9	6	8	1	4	5	6	6	6	6	5	7	11	3	1	1	19	5	8	8	7	5	10	7	10	8	8	10	5	8	11	7	7	10	15	6	1	6	3	6	6	7	11	8	12	4	4	4	4	10	3	3	0	6	3	8	2	2	2	2	0	2	4	4	0	2	0	0	4	1	1	1	0	1	1	2
8	38	11	19	12	25	18	18	18	17	16	16	16	14	12	12	25	1553855	1	0	0	0	0	0	0	1	2	7	0	1	4331	1	0	4274	860	859	0	0	0	3221	3220	3219	3218	3217	6	2	358	30	29	9	1	252	8	2	2	2	1	0	0	157	112	21	21	21	3	21	22	8	5	1	33	0	31	3	66	3	5	1	0	4	2	6	124	41	1	2	80	35	79	19	22	31	61	18	84	17	22	16	16	24	15	15	38	14	14	61	13	5	4	3	2	1	0	129	11	11	74	11	11	11	11	11	22	10	10	10	10	26	9	9	9	3	1	0	2	14	4	8	5	0	1	8	81	1	1	0	39	18	0	9	10	11	10	11	6	6	17	9	9	9	28	7	7	7	7	8	7	7	7	7	7	7	7	7	1	7	3	7	0	7	2	6	7	7	4	8	10	7	9	7	0	6	7	7	7	7	0	6	8	16	4	0	20	6	9	17	0	6	0	19	11	9	9	11	6	9	12	8	8	11	16	7	2	7	4	7	7	8	12	9	18	5	5	5	11	4	4	1	7	4	9	0	3	3	6	1	0	8	0	6	0	4	0	0	8	2	2	0	1	2	2	4
37	10	18	11	24	17	17	17	16	15	15	15	13	11	11	11	11	12	1553813	0	0	0	0	0	0	0	1	2	3	0	3	4323	4292	0	3412	3239	3226	3224	3222	0	0	2	1	0	3216	2	1	326	0	256	253	9	3	3	8	4	1	1	0	158	113	44	22	4	22	23	9	6	2	34	1	0	32	4	71	6	2	1	0	5	3	7	167	2	3	81	36	80	20	23	32	62	19	85	18	23	17	17	25	16	16	39	15	15	62	14	6	5	4	3	2	1	0	142	12	75	12	12	12	12	12	23	11	11	11	11	27	10	10	10	4	2	0	1	3	15	5	9	6	0	1	2	93	2	0	41	19	12	10	11	12	11	12	7	7	18	10	10	10	29	8	8	8	8	9	8	8	8	8	8	8	8	8	2	8	4	0	8	1	8	3	7	8	8	5	9	11	8	10	0	8	8	8	8	8	8	0	1	7	26	5	1	21	7	10	18	1	7	1	20	12	10	10	12	17	13	0	9	9	12	17	8	3	8	5	8	8	9	13	10	19	6	12	12	5	5	2	8	5	10	0	1	4	11	0	2	1	9	1	8	0	6	0	0	10	3	3	1	2	3	3	5
9	17	10	23	16	16	16	15	14	14	14	12	10	10	10	10	10	33	1553811	1553732	1553731	1553505	1553502	1553499	2	0	0	1	2	1	0	29	12	1	19	151	10	9	8	6	4	0	0	1	0	3215	1	0	324	16	15	4	4	14	4	3	2	0	1	0	273	68	5	23	24	10	7	3	35	2	1	33	5	0	79	3	2	1	0	6	4	8	171	4	82	37	81	21	24	33	63	20	86	19	24	18	18	26	17	17	40	16	16	63	15	7	6	5	4	3	2	1	143	13	76	13	13	13	13	13	24	12	12	12	12	28	11	11	11	5	3	0	1	2	4	16	6	10	7	0	1	4	100	1	42	20	14	0	12	13	12	13	8	8	19	11	11	11	30	9	9	9	9	10	9	9	9	9	9	9	9	9	3	9	0	5	1	9	2	9	4	8	9	9	6	10	12	0	9	11	10	9	9	9	9	9	1	0	2	35	6	2	22	8	11	19	2	8	2	21	13	11	11	13	32	1	10	0	10	13	18	9	4	9	6	9	9	10	14	11	27	13	13	6	6	3	9	0	6	11	1	2	5	12	1	3	2	10	11	0	8	1	0	1	11	4	4	2	3	4	4	6
